arg1,arg2,verb,sentence,verb_stem,label
borrowers,drown,themselves,"`` By lending for reckless deals , some lenders are helping the borrowers drown themselves , '' asserts Dean Dickie , an attorney specializing in bankruptcy law .",drown,1
it,smoothed,career,In Popular Front Hollywood it smoothed one 's career to evince a diffuse `` progressivism . '',smooth,1
it,lend,more,Mr. Camdessus said it was clearly in banks ' own interest to lend more and `` strengthen the value of -LRB- their -RRB- existing loan claims . '',lend,0
spain,pouring,pesetas,"Spain is pouring 15 billion pesetas -LRB- $ 122.2 million -RRB- into major new equipment by Ceselsa , a Spanish maker .",pour,1
candidates,stumble,south,With Iowa and New Hampshire behind them -- and victories for Rep. Richard Gephardt and Gov. Michael Dukakis -- the Democratic candidates now stumble South locked in a struggle that more and more experts and party leaders believe will go the distance .,stumble,1
court,dissolved,injunction,"The lower court had enjoined the effect of its decision , pending the appeal , but the appeals court dissolved the injunction .",dissolve,1
that,targeting,niche,"Thus , Japanese companies would have to fight it out with foreign rivals that are targeting the same niche , including Fokker B.V. of the Netherlands , British Aerospace PLC , MBB and Boeing .",target,0
he,planted,noir,"But David Lett was a visionary , and in 1966 he planted pinot noir in the red hills near Dundee .",plant,0
bush,touched,water,"This version stated that `` the other two men in the plane died , probably before Lt. Bush touched the water . ''",touch,1
mandate,fix,it,"Edward A. Brennan , chairman and chief executive officer , repeated to analysts something he said he recently told his managers about Sears 's businesses: `` If it is n't achieving its expected return on capital , their mandate is to fix it in a timely fashion , or exit the position and redeploy assets . ''",fix,0
she,knocking,people,"Soon she is not only bringing her wheelchair-bound master snacks , she 's knocking off people he dislikes -- and only too slowly .",knock,1
mariam,destroyed,economy,"{Ethiopian strongman Mengistu Haile Mariam} has destroyed the traditional farming economy with communist controls on prices , by confiscating all land , and by making the state the sole buyer and seller of food .",destroy,1
possibility,target,organisms,The study also showed that different organisms ' stress proteins are chemically similar-raising the possibility that vaccines made with the proteins might prime immune cells to target many disease-causing organisms .,target,1
colleagues,dissolved,group,"Afterward , Enrique `` Quique '' Galarza , Cojunto 's lively , goateed , 40-ish lead singer , explained that he and his colleagues recently dissolved a pre-existing group and started Cojunto , so they do n't have any home turf dates either .",dissolve,1
ruling,dissolving,injunction,The announcement Friday follows a court ruling earlier last week dissolving a preliminary injunction that had prevented the IRS from taking such action .,dissolve,0
goldman,attacks,subject,"And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman , hot to debunk , attacks his subject .",attack,1
it,dragged,body,"After burying the eggs in the sand , it dragged its body back and forth across the beach until it had eliminated any clues to the nest 's location .",drag,0
one,knocking,door,"`` No one 's knocking down the door anymore , '' said Paul Lovegren , senior account executive at Wassendorf & Son Co . , Cedar Falls , Iowa .",knock,1
he,examined,ration,"My late father-in-law , Jean Le Gorre , once recounted an early experience in the French army during World War I where on bivouac he examined his field ration -- a piece of issue `` hardtack . ''",examine,0
concern,examining,decision,"A spokesman for Burbank , Calif.-based Walt Disney Co. said the entertainment concern is examining the decision and would n't comment until after its review is complete .",examine,0
attempt,touched,fears,A coup attempt last August against the government of President Corazon Aquino touched off fears here that her government -- and newly won democracy in the Philippines -- were in danger .,touch,1
pigment,absorbs,light,The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light .,absorb,0
he,drinking,coffee,"If you had asked Lenin this question when he was drinking coffee in Zurich at the beginning of 1917 , he probably would have said: 'Oh , it will be a protracted struggle. ' ''",drink,0
trust,absorb,more,"The court ruled , however , that the trust will now have to absorb more of that cost .",absorb,0
you,miss,one,"`` Their situation is classic to the computer or technology business -- they missed the next product cycle , and in this business when you miss one , you may not get a chance for another . ''",miss,0
it,absorb,majority,It said it expects to absorb `` the vast majority '' of those jobs in its private health-care business .,absorb,0
bush,missed,beginning,Notes and diaries suggest Mr. Bush may have missed the beginning of that session .,miss,0
offensive,destroy,them,"This agreement is the product of the determination and sacrifice of the freedom fighters through years of struggle , including their heroic resistance last week to a Sandinista offensive designed to destroy them .",destroy,0
members,flooded,congress,"But after the proposal was announced , members of the Aircraft Owners and Pilots Association flooded Congress and the FAA with 80 , 000 letters -- a record number for an aviation issue .",flood,0
brass,dragging,feet,"`` Things are really rapidly falling into place , '' said a Navy official who previously had complained that the Pentagon brass was dragging its feet on the project .",drag,1
efforts,target,industry,"Sematech , as the venture is called , is the U.S. chip industry 's answer to Japan 's government-aided efforts to target the semiconductor industry for global domination .",target,0
which,cool,need,"Fed officials hope for signs soon that the economy is slowing , which would cool the need for further rate increases .",cool,1
chinese,eat,things,"Mr. Hudson hears that the Chinese eat the things , and someone 's looking into it .",eat,1
fluctuations,absorb,shocks,Switzerland is an example of a country that has pursued a domestic price rule and achieved price stability while allowing fluctuations in the exchange rate to absorb real shocks .,absorb,0
representation,struck,professionals,"And although the firm has become involved in some hostile transactions in recent years , its representation of a major unsolicited bid by a foreign concern struck some takeover professionals as unusual .",strike,0
pressure,fix,problems,"Meanwhile , Congress is turning up the pressure on the FAA to fix O ' Hare 's problems .",fix,1
citibank,examined,banks,"Citibank has examined several Texas banks , but thus far has decided that it did n't have enough confidence in the short-term Texas outlook to take the plunge .",examine,0
